name,time_offset_s,x_au,y_au,z_au
1 MERCURY BARYCENTER,0.0,-711497.8552169387,-42260297.731789544,-3389498.9305192027
1 MERCURY BARYCENTER,1.758340205969635e+16,-493659.565310837,-42286730.865860164,-3411494.0023907702
1 MERCURY BARYCENTER,3.51668041193927e+16,-275742.04671967134,-42306378.07815465,-3432941.6189320423
1 MERCURY BARYCENTER,5.275020617908905e+16,-57780.33235066678,-42319245.49041945,-3453839.090729575
1 MERCURY BARYCENTER,7.03336082387854e+16,160190.63710744533,-42325337.58611331,-3474183.602855816
1 MERCURY BARYCENTER,8.791701029848174e+16,378135.97662459756,-42324657.21614012,-3493972.2120088693
1 MERCURY BARYCENTER,1.055004123581781e+17,596020.8204440457,-42317205.602435656,-3513201.8434927375
1 MERCURY BARYCENTER,1.2308381441787445e+17,813810.2857705853,-42302982.33941912,-3531869.2880297313
1 MERCURY BARYCENTER,1.406672164775708e+17,1031469.4364316228,-42281985.39331386,-3549971.1983962352
1 MERCURY BARYCENTER,1.5825061853726714e+17,1248963.2464106432,-42254211.099335074,-3567504.0858725067
1 MERCURY BARYCENTER,1.758340205969635e+17,1466256.563151653,-42219654.156735204,-3584464.3164965184
1 MERCURY BARYCENTER,1.9341742265665984e+17,1683314.0705322018,-42178307.62169155,-3600848.1071112445
1 MERCURY BARYCENTER,2.110008247163562e+17,1900100.2514007667,-42130162.89801321,-3616651.5211940403
1 MERCURY BARYCENTER,2.2858422677605254e+17,2116579.349572008,-42075209.725638025,-3631870.4644560204
1 MERCURY BARYCENTER,2.461676288357489e+17,2332715.33117059,-42013436.16688272,-3646500.680198471
1 MERCURY BARYCENTER,2.6375103089544525e+17,2548471.8452105997,-41944828.590402305,-3660537.7444124203
1 MERCURY BARYCENTER,2.813344329551416e+17,2763812.183293727,-41869371.65280685,-3673977.0606064936
1 MERCURY BARYCENTER,2.9891783501483795e+17,2978699.2383043384,-41787048.277876504,-3686813.8543471103
1 MERCURY BARYCENTER,3.165012370745343e+17,3193095.461974108,-41697839.633306526,-3699043.1674938737
1 MERCURY BARYCENTER,3.3408463913423066e+17,3406962.8211827204,-41601725.104906194,-3710659.852111749
1 MERCURY BARYCENTER,3.51668041193927e+17,3620262.752853782,-41498682.268165916,-3721658.5640402175
1 MERCURY BARYCENTER,3.6925144325362336e+17,3832956.1172972717,-41388686.85709719,-3732033.7560980874
1 MERCURY BARYCENTER,3.868348453133197e+17,4045003.1498407586,-41271712.730240166,-3741779.6709009567
1 MERCURY BARYCENTER,4.0441824737301606e+17,4256363.410581562,-41147731.83372241,-3750890.333266575
1 MERCURY BARYCENTER,4.220016494327124e+17,4466995.732080972,-41016714.16124078,-3759359.5421813154
1 MERCURY BARYCENTER,4.3958505149240877e+17,4676858.164808799,-40878627.71082613,-3767180.8622988546
1 MERCURY BARYCENTER,4.571684535521051e+17,4885907.920133227,-40733438.43823704,-3774347.614939802
1 MERCURY BARYCENTER,4.747518556118015e+17,5094101.310634875,-40581110.206814334,-3780852.8685584143
1 MERCURY BARYCENTER,4.923352576714978e+17,5301393.687507409,-40421604.73361275,-3786689.428639734
1 MERCURY BARYCENTER,5.099186597311942e+17,5507739.37478772,-40254881.53160932,-3791849.826987369
1 MERCURY BARYCENTER,5.275020617908905e+17,5713091.600137685,-40080897.847769596,-3796326.310358722
1 MERCURY BARYCENTER,5.450854638505869e+17,5917402.421876061,-39899608.59673358,-3800110.828400754
1 MERCURY BARYCENTER,5.626688659102832e+17,6120622.651933098,-39710966.28986125,-3803195.020835196
1 MERCURY BARYCENTER,5.802522679699795e+17,6322701.774371372,-39514920.95935446,-3805570.2038376285
1 MERCURY BARYCENTER,5.978356700296759e+17,6523587.859084255,-39311420.077146314,-3807227.355549756
1 MERCURY BARYCENTER,6.154190720893723e+17,6723227.470247347,-39100408.46822118,-3808157.1006587306
1 MERCURY BARYCENTER,6.330024741490685e+17,6921565.569058517,-38881828.21799782,-3808349.6939711524
1 MERCURY BARYCENTER,6.505858762087649e+17,7118545.410257111,-38655618.573374756,-3807795.002902629
1 MERCURY BARYCENTER,6.681692782684613e+17,7314108.431863382,-38421715.83699968,-3806482.4887961666
1 MERCURY BARYCENTER,6.857526803281577e+17,7508194.13752305,-38180053.25428432,-3804401.186974278
1 MERCURY BARYCENTER,7.03336082387854e+17,7700739.970779626,-37930560.89264137,-3801539.6854203474
1 MERCURY BARYCENTER,7.209194844475503e+17,7891681.180526595,-37673165.51237038,-3797886.101974308
1 MERCURY BARYCENTER,7.385028865072467e+17,8080950.676812958,-37407790.428565115,-3793428.059916091
1 MERCURY BARYCENTER,7.560862885669431e+17,8268478.876086691,-37134355.36335385,-3788152.6617972157
1 MERCURY BARYCENTER,7.736696906266394e+17,8454193.534860473,-36852776.2877172,-3782046.4613662977
1 MERCURY BARYCENTER,7.912530926863357e+17,8638019.570671206,-36562965.252053015,-3775095.43341784
1 MERCURY BARYCENTER,8.088364947460321e+17,8819878.869076481,-36264830.20457501,-3767284.941375226
1 MERCURY BARYCENTER,8.264198968057285e+17,8999690.075286368,-35958274.79653882,-3758599.7023980278
1 MERCURY BARYCENTER,8.440032988654248e+17,9177368.368863933,-35643198.17318572,-3749023.7497802996
1 MERCURY BARYCENTER,8.615867009251212e+17,9352825.21974032,-35319494.74917849,-3738540.392379932
1 MERCURY BARYCENTER,8.791701029848175e+17,9525968.123576121,-34987053.96717407,-3727132.170789107
1 MERCURY BARYCENTER,8.967535050445138e+17,9696700.314256072,-34645760.03803231,-3714780.809921668
1 MERCURY BARYCENTER,9.143369071042102e+17,9864920.451023804,-34295491.6609959,-3701467.167654315
1 MERCURY BARYCENTER,9.319203091639066e+17,10030522.27744111,-33936121.72199286,-3687171.179114158
1 MERCURY BARYCENTER,9.49503711223603e+17,10193394.248985456,-33567516.96800433,-3671871.796154364
1 MERCURY BARYCENTER,9.670871132832992e+17,10353419.125671137,-33189537.655205775,-3655546.921501443
1 MERCURY BARYCENTER,9.846705153429956e+17,10510473.525584053,-32802037.168322787,-3638173.3369907923
1 MERCURY BARYCENTER,1.002253917402692e+18,10664427.434644455,-32404861.60834141,-3619726.6252301
1 MERCURY BARYCENTER,1.0198373194623884e+18,10815143.667242711,-31997849.345367756,-3600181.083941032
1 MERCURY BARYCENTER,1.0374207215220846e+18,10962477.271610774,-31580830.53304222,-3579509.63212657
1 MERCURY BARYCENTER,1.055004123581781e+18,11106274.872876482,-31153626.58046495,-3557683.707091327
1 MERCURY BARYCENTER,1.0725875256414774e+18,11246373.945671657,-30716049.577078965,-3534673.151202488
1 MERCURY BARYCENTER,1.0901709277011738e+18,11382602.006895922,-30267901.66537153,-3510446.0871155784
1 MERCURY BARYCENTER,1.10775432976087e+18,11514775.717737285,-29808974.35558107,-3484968.779997558
1 MERCURY BARYCENTER,1.1253377318205664e+18,11642699.88226769,-29339047.77582223,-3458205.4850541386
1 MERCURY BARYCENTER,1.1429211338802628e+18,11766166.327806499,-28857889.85014879,-3430118.278401661
1 MERCURY BARYCENTER,1.160504535939959e+18,11884952.649701444,-28365255.39604106,-3400666.869007906
1 MERCURY BARYCENTER,1.1780879379996554e+18,11998820.800119294,-27860885.13160905,-3369808.3890500977
1 MERCURY BARYCENTER,1.1956713400593518e+18,12107515.496747913,-27344504.581414547,-3337497.159588893
1 MERCURY BARYCENTER,1.2132547421190482e+18,12210762.422835391,-26815822.86820315,-3303684.4279177925
1 MERCURY BARYCENTER,1.2308381441787446e+18,12308266.184537223,-26274531.375958446,-3268318.072297234
1 MERCURY BARYCENTER,1.248421546238441e+18,12399707.984861316,-25720302.267501213,-3231342.2689952827
1 MERCURY BARYCENTER,1.266004948298137e+18,12484742.965273254,-25152786.83729941,-3192697.115598769
1 MERCURY BARYCENTER,1.2835883503578335e+18,12562997.15583574,-24571613.67716814,-3152318.203386875
1 MERCURY BARYCENTER,1.3011717524175299e+18,12634063.962064357,-23976386.629048724,-3110136.130118343
1 MERCURY BARYCENTER,1.3187551544772262e+18,12697500.100771945,-23366682.49498085,-3066075.942801723
1 MERCURY BARYCENTER,1.3363385565369226e+18,12752820.877098447,-22742048.46963146,-3020056.497801946
1 MERCURY BARYCENTER,1.353921958596619e+18,12799494.669412695,-22101999.255226336,-2971989.72286271
1 MERCURY BARYCENTER,1.3715053606563154e+18,12836936.456115404,-21446013.812356718,-2921779.76212973
1 MERCURY BARYCENTER,1.3890887627160118e+18,12864500.176234799,-20773531.692841362,-2869321.980827165
1 MERCURY BARYCENTER,1.406672164775708e+18,12881469.660879392,-20083948.892602056,-2814501.8005753844
1 MERCURY BARYCENTER,1.4242555668354043e+18,12887047.800634852,-19376613.153465323,-2757193.329045235
1 MERCURY BARYCENTER,1.4418389688951007e+18,12880343.518595608,-18650818.633249838,-2697257.7381771416
1 MERCURY BARYCENTER,1.459422370954797e+18,12860355.990993794,-17905799.854159657,-2634541.3328001723
1 MERCURY BARYCENTER,1.4770057730144934e+18,12825955.384496622,-17140724.831813473,-2568873.2351156524
1 MERCURY BARYCENTER,1.4945891750741898e+18,12775859.14246797,-16354687.283940801,-2500062.5886814715
1 MERCURY BARYCENTER,1.5121725771338862e+18,12708602.524126746,-15546697.823940307,-2427895.156139217
1 MERCURY BARYCENTER,1.5297559791935823e+18,12622501.638959562,-14715674.069437752,-2352129.1449379385
1 MERCURY BARYCENTER,1.5473393812532787e+18,12515606.560393745,-13860429.656741437,-2272490.0403309916
1 MERCURY BARYCENTER,1.564922783312975e+18,12385641.148844548,-12979662.28005626,-2188664.1485287095
1 MERCURY BARYCENTER,1.5825061853726715e+18,12229924.8084971,-12071941.127885373,-2100290.4456200954
1 MERCURY BARYCENTER,1.6000895874323679e+18,12045269.292260058,-11135694.578626027,-2006950.1757824696
1 MERCURY BARYCENTER,1.6176729894920643e+18,11827840.439518524,-10169199.95586937,-1908153.4249310575
1 MERCURY BARYCENTER,1.6352563915517606e+18,11572969.681922773,-9170578.952048607,-1803321.584000247
1 MERCURY BARYCENTER,1.652839793611457e+18,11274892.080414461,-8137805.86231014,-1691764.16987839
1 MERCURY BARYCENTER,1.6704231956711532e+18,10926374.451770825,-7068742.827097888,-1572647.8464871366
1 MERCURY BARYCENTER,1.6880065977308495e+18,10518175.045922505,-5961230.788863027,-1444954.662302007
1 MERCURY BARYCENTER,1.705589999790546e+18,10038238.5234915,-4813295.77733516,-1307425.6133478708
1 MERCURY BARYCENTER,1.7231734018502423e+18,9470464.949841656,-3623598.8498862386,-1158485.3357501328
1 MERCURY BARYCENTER,1.7407568039099387e+18,8792781.127264498,-2392418.344861803,-996146.7855363396
1 MERCURY BARYCENTER,1.758340205969635e+18,7974072.877103872,-1123847.0813447419,-817911.5139376642
1 MERCURY BARYCENTER,1.7759236080293315e+18,6969386.294400735,169099.1377061179,-620750.2950440819
1 MERCURY BARYCENTER,1.7935070100890276e+18,5713376.409933784,1452130.744527377,-401516.1484464469
1 MERCURY BARYCENTER,1.811090412148724e+18,4117368.7145453035,2639879.3696655845,-159112.99785836984
1 MERCURY BARYCENTER,1.8286738142084204e+18,2102488.024124595,3537126.280067255,97684.0171618569
1 MERCURY BARYCENTER,1.8462572162681167e+18,-247765.0213095545,3822936.7641478693,335039.4149669202
1 MERCURY BARYCENTER,1.863840618327813e+18,-2551071.502035155,3331455.073413791,504585.7800506321
1 MERCURY BARYCENTER,1.8814240203875095e+18,-4472304.616616803,2299750.994111889,595187.022433735
1 MERCURY BARYCENTER,1.899007422447206e+18,-5979366.734941785,1036551.3965008606,629155.3957913164
1 MERCURY BARYCENTER,1.9165908245069023e+18,-7162353.5335607175,-290374.52145729924,628407.3914417716
1 MERCURY BARYCENTER,1.9341742265665984e+18,-8107532.024580755,-1610981.5383238748,606523.1110490215
1 MERCURY BARYCENTER,1.9517576286262948e+18,-8876586.397270385,-2898227.140558846,571329.3915455673
1 MERCURY BARYCENTER,1.9693410306859912e+18,-9511722.41150164,-4142637.488134386,527443.5000009869
1 MERCURY BARYCENTER,1.9869244327456876e+18,-10042188.044044746,-5341986.222224588,477710.4833433629
1 MERCURY BARYCENTER,2.004507834805384e+18,-10488795.240883308,-6497057.7882022,423961.1785589964
1 MERCURY BARYCENTER,2.0220912368650803e+18,-10866774.061940959,-7609839.901425914,367419.8311159349
1 MERCURY BARYCENTER,2.0396746389247767e+18,-11187563.75791947,-8682727.037301749,308932.2802705905
1 MERCURY BARYCENTER,2.0572580409844728e+18,-11459957.897641072,-9718165.031289762,249099.2742443088
1 MERCURY BARYCENTER,2.0748414430441692e+18,-11690855.384170655,-10718495.91025637,188357.5344789968
1 MERCURY BARYCENTER,2.0924248451038656e+18,-11885766.124934796,-11685896.105015915,127030.8479906603
1 MERCURY BARYCENTER,2.110008247163562e+18,-12049160.135597738,-12622358.665001225,65363.30749629261
1 MERCURY BARYCENTER,2.1275916492232584e+18,-12184714.177146288,-13529695.920331681,3541.5504652145305
1 MERCURY BARYCENTER,2.1451750512829548e+18,-12295489.694416134,-14409551.115675649,-58289.99026590011
1 MERCURY BARYCENTER,2.1627584533426511e+18,-12384063.650499387,-15263413.378659084,-120018.39733236631
1 MERCURY BARYCENTER,2.1803418554023475e+18,-12452626.390579432,-16092633.279305551,-181554.63000644156
1 MERCURY BARYCENTER,2.1979252574620436e+18,-12503055.98872967,-16898437.69550202,-242827.96989637805
1 MERCURY BARYCENTER,2.21550865952174e+18,-12536975.529406838,-17681943.439686097,-303781.91920931963
1 MERCURY BARYCENTER,2.2330920615814364e+18,-12555797.8091688,-18444169.47525533,-364371.1291463605
1 MERCURY BARYCENTER,2.2506754636411328e+18,-12560760.630844668,-19186047.734505508,-424559.07055915066
1 MERCURY BARYCENTER,2.2682588657008292e+18,-12552954.969118143,-19908432.634230617,-484316.24722325534
1 MERCURY BARYCENTER,2.2858422677605256e+18,-12533347.668615593,-20612109.418089177,-543618.8110364043
1 MERCURY BARYCENTER,2.303425669820222e+18,-12502799.901508478,-21297801.461677514,-602447.4785322701
1 MERCURY BARYCENTER,2.321009071879918e+18,-12462082.302247155,-21966176.67036947,-660786.6757903143
1 MERCURY BARYCENTER,2.3385924739396147e+18,-12411887.473552268,-22617853.08850985,-718623.858233684
1 MERCURY BARYCENTER,2.356175875999311e+18,-12352840.39433106,-23253403.825217336,-775948.9656005814
1 MERCURY BARYCENTER,2.3737592780590075e+18,-12285507.139241928,-23873361.388751157,-832753.9822994263
1 MERCURY BARYCENTER,2.3913426801187036e+18,-12210402.229173224,-24478221.509020116,-889032.5805828118
1 MERCURY BARYCENTER,2.4089260821783997e+18,-12127994.863561058,-25068446.51672571,-944779.8292916031
1 MERCURY BARYCENTER,2.4265094842380964e+18,-12038714.233349547,-25644468.337914526,-999991.9548720412
1 MERCURY BARYCENTER,2.4440928862977925e+18,-11942954.073293002,-26206691.154313933,-1054666.1443335193
1 MERCURY BARYCENTER,2.461676288357489e+18,-11841076.581184747,-26755493.77262102,-1108800.3820589122
1 MERCURY BARYCENTER,2.4792596904171853e+18,-11733415.80726786,-27291231.73976613,-1162393.3140919795
1 MERCURY BARYCENTER,2.496843092476882e+18,-11620280.597918747,-27814239.235940106,-1215444.134843639
1 MERCURY BARYCENTER,2.514426494536578e+18,-11501957.162493464,-28324830.772726197,-1267952.4921793845
1 MERCURY BARYCENTER,2.532009896596274e+18,-11378711.320090171,-28823302.719897248,-1319918.4076461883
1 MERCURY BARYCENTER,2.549593298655971e+18,-11250790.473231075,-29309934.681222983,-1371342.209222103
1 MERCURY BARYCENTER,2.567176700715667e+18,-11118425.347587975,-29784990.736894973,-1422224.4744654854
1 MERCURY BARYCENTER,2.5847601027753636e+18,-10981831.53047252,-30248720.567842826,-1472565.9823329642
1 MERCURY BARYCENTER,2.6023435048350597e+18,-10841210.835581763,-30701360.475220192,-1522367.6722484676
1 MERCURY BARYCENTER,2.6199269068947564e+18,-10696752.517194385,-31143134.30663365,-1571630.6092573013
1 MERCURY BARYCENTER,2.6375103089544525e+18,-10548634.353469968,-31574254.299222466,-1620355.9543021137
1 MERCURY BARYCENTER,2.6550937110141486e+18,-10397023.615566535,-31994921.848440155,-1668544.9388222587
1 MERCURY BARYCENTER,2.672677113073845e+18,-10242077.93684721,-32405328.21030407,-1716198.8430119732
1 MERCURY BARYCENTER,2.6902605151335414e+18,-10083946.094403302,-32805655.14394338,-1763318.9771823639
1 MERCURY BARYCENTER,2.707843917193238e+18,-9922768.713405935,-33196075.500466492,-1809906.66576221
1 MERCURY BARYCENTER,2.725427319252934e+18,-9758678.90335385,-33576753.763465635,-1855963.233546613
1 MERCURY BARYCENTER,2.743010721312631e+18,-9591802.83406304,-33947846.5458667,-1901489.9938639742
1 MERCURY BARYCENTER,2.760594123372327e+18,-9422260.258207722,-34309503.0472992,-1946488.2383825409
1 MERCURY BARYCENTER,2.7781775254320236e+18,-9250164.986339152,-34661865.47569835,-1990959.2283202934
1 MERCURY BARYCENTER,2.7957609274917197e+18,-9075625.319555739,-35005069.436442986,-2034904.1868571853
1 MERCURY BARYCENTER,2.813344329551416e+18,-8898744.444351474,-35339244.29197843,-2078324.292578585
1 MERCURY BARYCENTER,2.8309277316111124e+18,-8719620.793615311,-35664513.494558915,-2121220.6738035716
1 MERCURY BARYCENTER,2.8485111336708086e+18,-8538348.377275739,-35980994.89446953,-2163594.403672801
1 MERCURY BARYCENTER,2.866094535730505e+18,-8355017.085671456,-36288801.02584358,-2205446.4958883994
1 MERCURY BARYCENTER,2.8836779377902013e+18,-8169712.968371327,-36588039.37197696,-2246777.9010133506
1 MERCURY BARYCENTER,2.901261339849898e+18,-7982518.490855343,-36878812.6118504,-2287589.503250634
1 MERCURY BARYCENTER,2.918844741909594e+18,-7793512.771198113,-37161218.849401265,-2327882.1176331374
1 MERCURY BARYCENTER,2.93642814396929e+18,-7602771.798659106,-37435351.8269375,-2367656.487564798
1 MERCURY BARYCENTER,2.954011546028987e+18,-7410368.635878279,-37701301.12395078,-2406913.282661045
1 MERCURY BARYCENTER,2.971594948088683e+18,-7216373.60619297,-37959152.34246882,-2445653.0968437055
1 MERCURY BARYCENTER,2.9891783501483796e+18,-7020854.467433961,-38208987.27997813,-2483876.4466510452
1 MERCURY BARYCENTER,3.006761752208076e+18,-6823876.573417347,-38450884.090854794,-2521583.7697287677
1 MERCURY BARYCENTER,3.0243451542677724e+18,-6625503.024225646,-38684917.43715414,-2558775.4234719984
1 MERCURY BARYCENTER,3.0419285563274685e+18,-6425794.806262009,-38911158.629533835,-2595451.6837919615
1 MERCURY BARYCENTER,3.0595119583871647e+18,-6224810.922964429,-39129675.759016074,-2631612.7439842783
1 MERCURY BARYCENTER,3.0770953604468613e+18,-6022608.516981405,-39340533.82023145,-2667258.7136784424
1 MERCURY BARYCENTER,3.0946787625065574e+18,-5819242.984533522,-39543794.826731876,-2702389.617850515
1 MERCURY BARYCENTER,3.112262164566254e+18,-5614768.0826180875,-39739517.91890843,-2737005.3958830084
1 MERCURY BARYCENTER,3.12984556662595e+18,-5409236.029653014,-39927759.46500441,-2771105.90065775
1 MERCURY BARYCENTER,3.147428968685647e+18,-5202697.60010239,-40108573.15567193,-2804690.897668988
1 MERCURY BARYCENTER,3.165012370745343e+18,-4995202.213577737,-40282010.092482865,-2837760.0641453196
1 MERCURY BARYCENTER,3.182595772805039e+18,-4786798.018865771,-40448118.87077007,-2870312.9881701493
1 MERCURY BARYCENTER,3.2001791748647357e+18,-4577531.973294734,-40606945.65714396,-2902349.167791342
1 MERCURY BARYCENTER,3.217762576924432e+18,-4367449.917816794,-40758534.26200057,-2933868.0101115447
1 MERCURY BARYCENTER,3.2353459789841285e+18,-4156596.648152521,-40902926.207311034,-2964868.8303513825
1 MERCURY BARYCENTER,3.2529293810438246e+18,-3945015.9823158546,-41040160.78995872,-2995350.8508782755
1 MERCURY BARYCENTER,3.2705127831035213e+18,-3732750.8248124267,-41170275.14086805,-3025313.200194187
1 MERCURY BARYCENTER,3.2880961851632174e+18,-3519843.2277814774,-41293304.28014914,-3054754.911875984
1 MERCURY BARYCENTER,3.305679587222914e+18,-3306334.449331562,-41409281.168463245,-3083674.9234624216
1 MERCURY BARYCENTER,3.32326298928261e+18,-3092265.0093013896,-41518236.75479782,-3112072.075282081
1 MERCURY BARYCENTER,3.3408463913423063e+18,-2877674.742660875,-41620200.020822905,-3139945.109216754
1 MERCURY BARYCENTER,3.358429793402003e+18,-2662602.8507526107,-41715198.021987304,-3167292.667394953
1 MERCURY BARYCENTER,3.376013195461699e+18,-2447087.9505604743,-41803255.92549787,-3194113.290810307
1 MERCURY BARYCENTER,3.3935965975213957e+18,-2231168.1221800977,-41884397.04531396,-3220405.417859692
1 MERCURY BARYCENTER,3.411179999581092e+18,-2014880.9546551253,-41958642.87427639,-3246167.3827959355
1 MERCURY BARYCENTER,3.4287634016407885e+18,-1798263.5903336357,-42026013.11347917,-3271397.4140899046
1 MERCURY BARYCENTER,3.4463468037004846e+18,-1581352.7678900715,-42086525.69898255,-3296093.6326967753
1 MERCURY BARYCENTER,3.4639302057601807e+18,-1364184.8641510748,-42140196.82595539,-3320254.050221082
1 MERCURY BARYCENTER,3.4815136078198774e+18,-1146795.9348557482,-42187040.97032603,-3343876.566975151
1 MERCURY BARYCENTER,3.4990970098795735e+18,-929221.7544761185,-42227070.908011824,-3366958.96992518
199 MERCURY,0.0,21552304.02887132,-66638116.992351204,-7421294.703685875
199 MERCURY,1.9719861117282877e+17,26488463.982491873,-64138648.88448385,-7673575.273554119
199 MERCURY,3.9439722234565754e+17,31304644.99236408,-61348924.85613312,-7891119.6305175265
199 MERCURY,5.915958335184863e+17,35976042.08225284,-58275636.81281632,-8072181.806703946
199 MERCURY,7.887944446913151e+17,40478434.173764095,-54928695.46243451,-8215332.075988096
199 MERCURY,9.859930558641439e+17,44788747.54084099,-51321160.900745995,-8319503.345093286
199 MERCURY,1.1831916670369725e+18,48885602.93978635,-47469046.188900076,-8384025.686670328
199 MERCURY,1.3803902782098015e+18,52749812.04979345,-43390999.97562031,-8408646.333200173
199 MERCURY,1.5775888893826301e+18,56364791.91015159,-39107885.06234469,-8393533.616248317
199 MERCURY,1.7747875005554588e+18,59716872.873844236,-34642278.95701364,-8339264.712267928
199 MERCURY,1.9719861117282877e+18,62795485.21902236,-30017928.50763645,-8246798.437589921
199 MERCURY,2.1691847229011164e+18,65593220.4617512,-25259192.844081588,-8117435.516450645
199 MERCURY,2.366383334073945e+18,68105773.93223569,-20390507.038199674,-7952769.569379197
199 MERCURY,2.563581945246774e+18,70331783.87171194,-15435893.779229987,-7754632.455765396
199 MERCURY,2.760780556419603e+18,72272588.23961915,-10418543.095522834,-7525037.560312119
199 MERCURY,2.9579791675924316e+18,73931923.26601863,-5360472.046319051,-7266124.215231818
199 MERCURY,3.1551777787652603e+18,75315587.77602765,-282268.54692292114,-6980105.816881543
199 MERCURY,3.352376389938089e+18,76431095.07133427,4797083.055273924,-6669223.455024245
199 MERCURY,3.5495750011109176e+18,77287330.47318156,9860301.89617214,-6335706.136884052
199 MERCURY,3.746773612283747e+18,77894228.29304644,14891846.312193336,-5981738.037403523
199 MERCURY,3.9439722234565755e+18,78262477.64402227,19877897.11324731,-5609432.687363888
199 MERCURY,4.141170834629404e+18,78403262.58407767,24806300.308234166,-5220813.63711301
199 MERCURY,4.338369445802233e+18,78328038.84152074,29666480.401195023,-4817800.8977365615
199 MERCURY,4.5355680569750615e+18,78048346.89974058,34449334.03553002,-4402202.342301892
199 MERCURY,4.73276666814789e+18,77575659.48405911,39147112.15898029,-3975709.2203792436
199 MERCURY,4.929965279320719e+18,76921260.40163243,43753297.23395382,-3539894.97249153
199 MERCURY,5.127163890493548e+18,76096151.1092035,48262480.471840695,-3096216.6039053886
199 MERCURY,5.324362501666377e+18,75110981.1932779,52670242.70887491,-2646017.9705213187
199 MERCURY,5.521561112839206e+18,73975999.02577022,56973041.40013982,-2190534.429848645
199 MERCURY,5.718759724012034e+18,72701019.1083216,61168105.290560976,-1730898.4079474928
199 MERCURY,5.915958335184863e+18,71295402.96526104,65253337.61064706,-1268145.5231995415
199 MERCURY,6.113156946357691e+18,69768050.83394682,69227228.11368994,-803220.9869567031
199 MERCURY,6.310355557530521e+18,68127401.79460329,73088773.88994761,-336986.0685177864
199 MERCURY,6.50755416870335e+18,66381440.3559887,76837408.6323535,129775.53228124519
199 MERCURY,6.704752779876178e+18,64537707.85465642,80472939.86071935,596351.5163832596
199 MERCURY,6.901951391049007e+18,62603317.327748954,83995493.51424438,1062095.0964218592
199 MERCURY,7.099150002221835e+18,60584970.78053902,87405465.27653575,1526419.435067551
199 MERCURY,7.296348613394664e+18,58488977.9916896,90703477.98822173,1988792.437418694
