name,sma,ecc,inc,raan,argp,M0
1 MERCURY BARYCENTER,57911447.62095421,0.20561639355036554,0.1222392524634967,0.8431078960167719,0.5093137404018984,3.2680236773348326
10 SUN,0.0,,0.0,0.0,0.0,0.0
199 MERCURY,57911447.62095421,0.20561639355036554,0.1222392524634967,0.8431078960167719,0.5093137404018984,3.2680236773348326
2 VENUS BARYCENTER,108214018.43344635,0.006717545331611677,0.059246586760991614,1.3373541350483915,0.9529583326086621,4.0755557870979615
299 VENUS,108214018.43344635,0.006717545331611677,0.059246586760991614,1.3373541350483915,0.9529583326086621,4.0755557870979615
3 EARTH BARYCENTER,149608684.3884606,0.016803769501010906,4.595519803704204e-05,3.087232563506419,4.9938562533813915,6.227849058188487
301 MOON,145459753.85784528,0.02757786970756787,0.0011764964801863184,4.6426728406354805,1.4050407679464207,1.9225192796158848
399 EARTH,149663122.853762,0.017168401703469865,4.848698181176019e-05,2.7866098409730276,5.312451359186112,6.210554663041214
4 MARS BARYCENTER,227943590.35089263,0.09348149143813839,0.03225472523684888,0.8639593824143321,5.003074288751623,4.31249028419743
5 JUPITER BARYCENTER,779204271.5521393,0.048635595630089644,0.022752529588183086,1.754346093545191,4.753113177079115,4.685798741205993
6 SATURN BARYCENTER,1433673171.4710877,0.05071891423143979,0.04339301296213281,1.9826095845289704,5.895585668508506,3.5428414273491007
601 MIMAS,1478233059.3593037,0.7496664563150227,1.7656476649697659,5.100572057583197,3.8523674312509337,0.8418320338931808
602 ENCELADUS,-496754801.00187707,3.852297616822247,0.03334836720369424,1.9919226416980222,2.729800150427192,0.0
603 TETHYS,1391492748.8509126,0.9590013168860607,0.8131980729661757,1.9598949005680273,6.016951628815921,5.586020522730699
604 DIONE,-854159441.9774381,2.637263868436026,0.006165060733088024,2.146148700371604,2.5158312262438507,0.0
605 RHEA,993294754.4960443,0.7878166436310121,0.8037295624423505,5.099268552972159,3.458481798269231,1.6766763789219228
606 TITAN,1157205359.2454355,0.5517032668919442,0.31201183928401655,5.096555809451732,3.718206869340648,1.6732414173083192
607 HYPERION,1073134477.3039677,0.5314207489460515,0.24042008369685144,5.095613002365577,3.559107457755584,2.0645489845839387
608 IAPETUS,2977681452.212337,0.5233225846726219,0.056647819561073245,1.9874088559798142,2.5328925755265113,0.16033429929410642
609 PHOEBE,2054657848.6021059,0.27645488899050163,0.05343290737824507,1.985488768635862,3.1378389602481804,6.271585956053395
612 HELENE,-893107010.1942955,2.5778867593956574,0.28328003861031864,1.962693801969212,3.5536281057107044,0.0
613 TELESTO,812527906.1013876,0.8641820584966046,2.0287219504531713,5.100885871823534,3.1965006390065573,2.772083677410758
614 CALYPSO,-1231116165.023911,1.9082390951702515,0.414557910138134,1.9613320400456424,4.052463154695782,0.0
632 METHONE,-1496005667.6051166,1.4435185767967704,0.6324672796408737,1.9603444521508817,4.65522838118442,0.0
634 POLYDEUCES,-7046237578.681146,1.1319110228849176,0.31342782714404677,5.096807301380055,5.002612257388638,0.0
699 SATURN,1433864460.2650013,0.0506289946127376,0.04345629291623155,1.9825750746704125,5.892762960642466,3.5459086267380067
7 URANUS BARYCENTER,2868676094.491707,0.04658174529193675,0.013448106499926298,1.293034214992922,1.7246842121117136,3.941152406485962
8 NEPTUNE BARYCENTER,4517025200.993588,0.009997223743793764,0.0308972081730661,2.299944611869807,4.299624320578876,5.762673911227527
9 PLUTO BARYCENTER,5963433721.703414,0.25326051057224885,0.2984242921666892,1.9250432842674106,2.011395539839896,0.7398700782579674
901 CHARON,6356189487.015184,0.2898223009661354,0.3264912782742693,1.9285249319905198,2.136552900899802,0.5958522013833327
902 NIX,6184482373.038407,0.25944055391626447,0.28323530651388035,1.9229059047039443,2.1629969494108345,0.6226526126090159
903 HYDRA,5673478527.664844,0.2343605947547629,0.28680701476412246,1.923379238040821,1.8520205645396937,0.8976599340616178
904 KERBEROS,5641316090.872362,0.23536489633047747,0.290347515495433,1.923889980230446,1.8221270972533434,0.9202798475152782
905 STYX,5590246689.487361,0.2332777795820484,0.2887483020725305,1.9236693016208573,1.787466036118524,0.9533523617308831
999 PLUTO,5920227058.814967,0.24924574150176876,0.2949172341328092,1.924563200927942,1.9942999206880907,0.7593877954726774
